Lat,Lon,Base,Hour,Day,Month,Year,Minute,cluster
41.0214,-73.6269,B02512,21,3,4,2014,33,9
40.944,-73.8435,B02512,10,4,4,2014,40,9
40.9308,-73.8488,B02512,10,5,4,2014,11,9
41.029,-73.7141,B02512,14,5,4,2014,9,9
40.9347,-73.8433,B02512,17,5,4,2014,13,9
40.9944,-73.84,B02512,17,5,4,2014,38,9
41.0438,-73.6849,B02512,21,5,4,2014,38,9
41.0024,-73.6653,B02512,22,5,4,2014,41,9
40.9367,-73.8282,B02512,5,7,4,2014,6,9
41.0155,-73.7268,B02512,16,8,4,2014,16,9
41.0266,-73.7155,B02512,18,8,4,2014,45,9
41.0548,-73.5406,B02512,20,8,4,2014,24,9
40.9276,-73.8458,B02512,5,9,4,2014,26,9
40.9204,-73.8283,B02512,5,10,4,2014,16,9
40.894,-73.8151,B02512,21,10,4,2014,2,9
41.07,-73.8602,B02512,20,11,4,2014,19,9
41.0546,-73.5821,B02512,3,12,4,2014,47,9
41.0242,-73.6905,B02512,21,12,4,2014,31,9
40.9487,-73.7926,B02512,19,13,4,2014,8,9
40.9362,-73.8399,B02512,5,14,4,2014,14,9
41.0759,-73.8255,B02512,16,14,4,2014,28,9
40.9475,-73.7252,B02512,19,14,4,2014,41,9
41.0554,-73.5406,B02512,13,16,4,2014,3,9
41.033,-73.7747,B02512,13,16,4,2014,8,9
41.0062,-73.6902,B02512,13,16,4,2014,54,9
40.9225,-73.785,B02512,13,16,4,2014,55,9
40.9412,-73.8397,B02512,18,16,4,2014,58,9
41.0472,-73.5674,B02512,13,17,4,2014,29,9
40.955,-73.7712,B02512,11,18,4,2014,52,9
41.0318,-73.7664,B02512,12,19,4,2014,25,9
41.0739,-73.8166,B02512,15,19,4,2014,40,9
41.0292,-73.6265,B02512,22,19,4,2014,3,9
40.9499,-73.8185,B02512,22,19,4,2014,48,9
41.055,-73.5406,B02512,13,20,4,2014,28,9
40.9993,-73.7418,B02512,22,21,4,2014,38,9
41.008,-73.6575,B02512,19,22,4,2014,33,9
40.9893,-73.6914,B02512,6,23,4,2014,11,9
40.9347,-73.845,B02512,10,23,4,2014,51,9
41.0473,-73.5417,B02512,11,24,4,2014,13,9
41.0472,-73.5677,B02512,14,24,4,2014,42,9
41.0768,-73.4719,B02512,22,24,4,2014,15,9
41.0259,-73.624,B02512,7,25,4,2014,28,9
41.051,-73.5408,B02512,15,25,4,2014,34,9
41.051,-73.5408,B02512,15,25,4,2014,34,9
41.0244,-73.9178,B02512,17,25,4,2014,11,9
40.8871,-73.7803,B02512,21,25,4,2014,13,9
41.0585,-73.5444,B02512,22,25,4,2014,47,9
41.01,-73.8517,B02512,8,26,4,2014,47,9
41.057,-73.538,B02512,16,26,4,2014,33,9
41.0568,-73.5383,B02512,16,26,4,2014,47,9
40.9761,-73.6783,B02512,17,26,4,2014,29,9
40.9574,-73.7064,B02512,22,26,4,2014,28,9
41.0099,-73.8517,B02512,8,27,4,2014,46,9
41.1274,-73.6946,B02512,13,27,4,2014,14,9
40.932,-73.8213,B02512,19,27,4,2014,18,9
40.9861,-73.7657,B02512,5,28,4,2014,19,9
41.0404,-73.5844,B02512,8,28,4,2014,15,9
41.012,-73.6177,B02512,9,28,4,2014,37,9
41.0517,-73.5349,B02512,13,28,4,2014,23,9
40.9436,-73.7679,B02512,17,30,4,2014,55,9
41.0313,-73.6042,B02512,18,30,4,2014,55,9
41.0415,-73.8682,B02512,21,30,4,2014,3,9
40.9437,-73.7841,B02598,4,1,4,2014,48,9
40.9781,-73.7119,B02598,7,1,4,2014,29,9
40.9344,-73.7534,B02598,12,1,4,2014,10,9
40.8898,-73.7848,B02598,13,1,4,2014,18,9
40.9707,-73.8727,B02598,15,1,4,2014,43,9
41.0594,-73.51,B02598,15,1,4,2014,57,9
41.0156,-73.7277,B02598,17,1,4,2014,57,9
41.0768,-73.4715,B02598,20,1,4,2014,57,9
40.9441,-73.8434,B02598,21,1,4,2014,47,9
41.0687,-73.7041,B02598,9,2,4,2014,59,9
41.0277,-73.6568,B02598,12,2,4,2014,30,9
41.0311,-73.7877,B02598,13,2,4,2014,27,9
41.0545,-73.538,B02598,14,2,4,2014,40,9
41.031,-73.7681,B02598,15,2,4,2014,3,9
41.0225,-73.7123,B02598,17,2,4,2014,46,9
41.0287,-73.765,B02598,19,2,4,2014,15,9
