Lat,Lon,Base,Hour,Day,Month,Year,Minute,cluster
40.7838,-73.422,B02598,8,8,4,2014,6,3
40.7402,-73.235,B02598,9,8,4,2014,16,3
40.7162,-73.5978,B02598,11,8,4,2014,44,3
40.7386,-73.6414,B02598,13,8,4,2014,33,3
40.7383,-73.639,B02598,14,8,4,2014,3,3
40.7197,-73.5643,B02598,15,8,4,2014,32,3
40.7386,-73.6143,B02598,15,8,4,2014,51,3
40.7338,-73.6024,B02598,16,8,4,2014,13,3
40.7811,-73.4493,B02598,17,8,4,2014,46,3
40.7328,-73.6366,B02598,19,8,4,2014,13,3
40.7222,-73.624,B02598,5,9,4,2014,10,3
40.7687,-73.6481,B02598,7,9,4,2014,32,3
40.7387,-73.6157,B02598,12,9,4,2014,18,3
40.7216,-73.613,B02598,13,9,4,2014,55,3
40.7432,-73.6218,B02598,15,9,4,2014,18,3
40.7445,-73.6022,B02598,15,9,4,2014,37,3
40.7123,-73.6293,B02598,13,10,4,2014,36,3
40.7113,-73.6381,B02598,17,10,4,2014,42,3
40.7825,-73.5531,B02598,18,10,4,2014,13,3
40.7706,-73.6389,B02598,18,10,4,2014,20,3
40.8039,-73.6698,B02598,19,10,4,2014,42,3
40.7168,-73.6287,B02598,4,11,4,2014,10,3
40.7676,-73.5914,B02598,7,11,4,2014,23,3
40.7893,-73.1385,B02598,8,11,4,2014,22,3
40.7328,-73.5987,B02598,12,11,4,2014,29,3
40.8395,-73.4808,B02598,17,11,4,2014,32,3
40.8853,-73.4417,B02598,18,11,4,2014,47,3
40.7344,-73.6007,B02598,9,12,4,2014,46,3
40.7297,-73.5902,B02598,10,12,4,2014,6,3
40.905,-73.0863,B02598,12,12,4,2014,43,3
40.7549,-73.6445,B02598,12,12,4,2014,55,3
40.7175,-73.5933,B02598,15,12,4,2014,49,3
40.6862,-73.47,B02598,19,12,4,2014,1,3
40.7316,-73.6099,B02598,20,12,4,2014,19,3
40.8113,-73.4723,B02598,21,12,4,2014,25,3
40.7779,-73.6179,B02598,9,13,4,2014,59,3
40.7393,-73.6109,B02598,15,13,4,2014,43,3
40.74,-73.6142,B02598,13,14,4,2014,42,3
40.6568,-73.5791,B02598,16,14,4,2014,21,3
40.7328,-73.5989,B02598,17,14,4,2014,7,3
40.7981,-73.6495,B02598,20,14,4,2014,24,3
40.7918,-73.6328,B02598,20,14,4,2014,38,3
40.7878,-73.6374,B02598,20,14,4,2014,43,3
40.7417,-73.6509,B02598,21,14,4,2014,24,3
40.7329,-73.5983,B02598,2,15,4,2014,31,3
40.654,-73.5626,B02598,5,15,4,2014,5,3
40.7605,-73.5067,B02598,11,15,4,2014,15,3
40.7447,-73.6486,B02598,12,15,4,2014,9,3
40.7359,-73.5932,B02598,15,15,4,2014,12,3
40.8838,-73.6158,B02598,19,15,4,2014,22,3
40.7804,-73.548,B02598,20,15,4,2014,34,3
40.7781,-73.6421,B02598,21,15,4,2014,14,3
40.701,-73.5657,B02598,4,16,4,2014,18,3
40.6574,-73.5822,B02598,9,16,4,2014,25,3
40.7447,-73.5921,B02598,10,16,4,2014,32,3
40.8095,-73.4895,B02598,12,16,4,2014,30,3
